Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/PhoKO_1.bam	Fly/RNA_seq/PhoKO_2.bam	Fly/RNA_seq/PhoKO_3.bam	
CG9922	2257	2202	1397	1368	2071	1893	
tRNA:Ser-GCT-2-2	0	0	0	0	0	0	
foxo	1961	2387	1104	1238	2139	2021	
Npc2b	908	473	417	401	498	505	
CCHa1	46	27	30	26	24	21	
CG9920	4	8	1	1	8	2	
PK1-R	13	16	8	5	8	4	
CG12402	1291	1265	917	883	1271	1068	
asRNA:CR44237	0	0	0	0	1	0	
Or88a	0	0	0	0	0	0	
CG14357	0	1	0	0	1	2	
Kif19A	17	15	9	15	17	24	
Abi	4745	4808	2737	2971	4618	4375	
twf	1640	1864	903	1014	1469	1322	
140up	520	493	321	373	565	433	
RpII140	9042	8703	5890	7281	10062	9250	
CG14356	20	20	9	48	19	13	
CG14355	1	6	0	5	11	0	
CG42500	2659	7871	871	794	5838	1203	
CG9722	0	2	0	1	0	1	
CG44215	17	154	8	87	126	33	
CG31533	0	1	0	0	1	0	
CG31327	0	1	0	0	1	0	
CG3199	0	0	0	0	0	0	
Dop1R1	838	695	579	587	700	517	
CG9649	0	0	0	0	0	0	
CG31326	0	0	0	0	6	0	
CG33109	0	0	0	0	0	1	
Sp212	33	36	12	21	45	25	
CG9631	2	9	1	5	4	3	
CG9624	1	1	0	0	0	0	
CG43291	22	40	8	7	0	15	
CG9616	12	27	12	28	17	37	
MetRS-m	937	814	456	496	780	668	
CG43179	78	71	57	42	94	42	
CG14840	0	1	0	1	2	1	
CG14841	1	2	0	0	3	1	
CG14839	0	0	0	0	2	3	
trx	16625	16558	11250	10155	16844	14110	
asRNA:CR46020	0	0	0	0	0	0	
lncRNA:CR45596	0	1	0	1	0	2	
red	3200	3261	1966	1905	3267	3109	
CG3259	62	53	47	58	66	62	
su(Hw)	5739	5736	3534	3721	5997	5507	
RpII15	2086	1970	1275	1263	2054	1952	
CG31321	54	139	40	82	66	38	
Crz	459	316	322	339	433	322	
PR-Set7	4459	4576	2989	3273	5285	4339	
Afti	2554	2651	1506	1674	2554	2163	
ATPsynE	5756	5443	3489	3913	5644	4621	
spn-B	150	173	117	101	169	138	
NK7.1	1410	1283	901	1041	1599	1383	
HEATR2	861	895	615	485	759	620	
snoRNA:Me18S-G1189	2	3	1	0	4	4	
lncRNA:CR44943	1	4	1	2	3	3	
soti	1	4	2	0	2	0	
cv-c	7355	7990	4483	4349	7327	6956	
mir-2281	1	0	0	0	0	3	
natalisin	438	306	287	165	212	220	
asRNA:CR44176	3	0	0	1	0	3	
lncRNA:CR44177	8	11	7	3	16	10	
HtrA2	640	637	377	356	573	527	
mRpL11	750	725	420	489	705	668	
CG8461	528	540	366	362	599	500	
Pde6	544	504	381	438	539	325	
CG34273	7	8	3	34	5	10	
Cyp313a1	3	3	2	1	2	5	
lncRNA:CR46021	0	1	0	2	3	0	
lncRNA:CR46022	0	0	0	0	0	0	
lncRNA:CR46023	0	1	0	0	1	0	
CG14854	10	7	4	1	7	2	
CG14850	5211	7387	9742	21	3	1	
CG14851	50	62	32	5	1	7	
CG8087	359	366	241	104	42	131	
CG14852	322	398	205	112	17	102	
CG31313	148	252	64	308	97	139	
CG8066	290	243	207	167	302	233	
asRNA:CR44095	6	14	10	6	9	8	
Cys	1	1	1	0	1	0	
CG7987	5399	5273	3448	3396	5245	4722	
CG44094	9	16	19	26	16	1	
stumps	3168	3280	1956	2256	3943	3379	
lncRNA:CR46153	1	1	1	0	1	1	
CG14853	1076	917	661	697	906	740	
put	6309	6451	3634	3725	6114	5502	
His4r	38720	37342	20644	22659	34110	31533	
CG7886	13	10	4	14	27	8	
Cad88C	408	462	249	485	773	668	
l(3)L1231	9540	10123	6066	6367	9949	9078	
CG3505	255	424	209	272	377	311	
Hexim	2185	2095	1278	1199	2058	1921	
Rad17	746	716	446	503	711	636	
BigH1	6	2	3	1	0	1	
Meltrin	5086	5584	3000	3011	5381	3996	
kibra	2289	2371	1388	1611	2744	2098	
CG7530	1422	1399	938	809	1158	1051	
eff	28957	32060	17800	18378	30038	26774	
jvl	6394	6943	4158	3597	5671	5230	
smp-30	20	16	9	25	15	5	
CG7362	0	0	0	0	2	0	
CG14855	467	460	300	299	516	388	
CG14856	35	40	24	23	43	41	
CG14857	7	13	4	10	4	11	
btsz	12846	13035	7984	8069	13635	11991	
lncRNA:CR46024	0	0	0	1	1	1	
CG3610	3	7	1	2	2	0	
CG3631	741	771	473	368	665	558	
Rrp6	2807	2781	1754	1914	2880	2524	
CG33331	361	355	228	191	290	253	
CG33332	835	862	522	619	1005	913	
CycC	1550	1613	949	1022	1491	1351	
UQCR-C1	10904	10562	6394	7749	10219	8964	
CG7265	1941	1747	1116	1462	2210	2006	
CG14860	208	172	134	95	141	155	
Nup93-2	1946	1804	1120	1203	1870	1710	
CG3817	1454	1404	798	911	1317	1193	
VhaPPA1-2	3	3	0	2	2	5	
RpS5b	288	167	160	56	73	46	
VhaPPA1-1	6392	6247	3786	4013	5728	4704	
lncRNA:CR46199	0	0	0	0	0	0	
Sdr	2366	1995	1437	1170	1715	1487	
lncRNA:CR45598	3	4	2	5	3	4	
lncRNA:CR45599	0	0	0	0	0	0	
CG14861	0	1	1	1	0	0	
RpL10Aa	0	3	0	0	1	0	
lncRNA:CR44944	0	0	0	0	0	0	
dpr9	1160	1057	677	538	764	641	
CG6974	0	2	1	4	2	3	
CG6966	4552	4712	2943	2539	4454	3856	
CG42788	1915	1823	1191	1454	2094	1816	
mir-2493	0	0	0	0	0	0	
CG6912	1871	1580	1081	1101	1304	1648	
asRNA:CR45600	697	644	473	406	510	604	
CG3984	0	0	0	0	0	0	
CG3987	158	205	177	155	179	292	
GlyS	7428	6809	4755	4993	7602	6794	
Gyc88E	201	142	115	109	160	110	
Mf	1433	1627	928	1966	1797	1043	
CG6752	1817	1734	1082	1488	2011	1851	
mir-3644	0	0	0	0	0	0	
CG42542	2130	2335	1250	1408	2243	1877	
Spn88Ea	6553	6807	3540	3938	6800	6042	
Spn88Eb	166	282	128	66	175	133	
Mau2	1433	1478	827	994	1448	1314	
CG6654	1086	1127	653	1232	2194	1894	
CG4210	444	473	289	212	385	370	
SIDL	1961	1946	1263	1158	1680	1555	
CG12241	2256	2164	1394	1328	2026	1866	
mir-9383	0	0	0	0	0	0	
Rpb7	1477	1286	794	883	1364	1215	
CG31344	1039	1114	564	675	1087	962	
Caf1-55	13216	12596	7823	9315	13135	12195	
Art3	3092	3003	1804	2046	2948	2796	
mRpS10	1494	1453	798	936	1379	1187	
CG34316	20	4	6	6	3	5	
asRNA:CR43471	0	0	0	0	0	0	
tefu	4826	4517	3578	3073	5068	4386	
Hsc70-4	215828	227877	129323	132077	196533	193880	
Amt	6	5	4	4	9	6	
CG42404	1867	1778	1175	1265	1717	1490	
eIF2gamma	11216	11023	6485	7302	10965	10322	
Su(var)3-9	1320	1276	655	1014	1469	1286	
Set	15680	14833	9829	10141	15492	14092	
ATPsynO	9002	8699	5120	6013	8180	6916	
CG14864	32	45	19	37	35	21	
Zip88E	405	510	279	230	374	335	
Cp190	14565	14123	9215	9691	15554	13225	
CG4338	158	156	91	157	250	215	
asRNA:CR46081	0	0	0	0	0	0	
MRG15	2362	2450	1445	1513	2298	2069	
l(3)neo43	391	338	243	224	338	274	
Tm1	25845	27662	17105	16890	27906	23364	
CG45218	177	170	110	94	157	137	
Tm2	1581	1637	940	2011	1832	979	
CG14866	2	1	0	5	2	0	
CG6276	1957	1985	1206	1147	1786	1669	
CG44040	29	35	21	290	16	7	
ear	3095	3208	1984	2147	3247	2906	
CG6236	4255	4116	2494	2598	4039	3501	
ea	723	600	452	316	660	409	
mRpL9	1210	1116	638	747	1083	997	
Fkbp39	16338	15523	9701	9837	15465	14380	
Sra-1	10978	10675	6380	7295	10654	9437	
CG6218	1829	1730	960	1590	2172	1840	
SerRS-m	1746	1579	908	827	1275	1062	
Surf4	6771	7206	4231	4625	7276	6024	
CG31301	5099	4782	3085	3267	5083	4660	
CG42727	0	0	0	0	0	0	
CG42726	0	0	0	0	0	0	
Trs33	283	284	190	180	280	246	
CG5038	958	1000	494	541	835	653	
Atg4b	1526	1479	934	1025	1552	1303	
CG5044	1420	1217	838	857	1261	1130	
ldlCp	1335	1459	845	1090	1615	1358	
Trax	2323	2251	1468	1448	2268	2001	
CG6171	955	877	549	778	1185	1041	
CG34404	4217	4185	2478	2352	3870	3402	
CG14868	599	548	406	419	628	495	
CG6136	523	494	299	317	467	407	
Ccm3	2026	2217	1303	1041	2137	1819	
Rbp	1779	1466	1090	1259	1617	1502	
h-cup	1	3	0	0	1	0	
CG6125	358	354	200	131	174	192	
asRNA:CR46058	0	0	0	0	0	0	
Atx2	11833	12459	6938	7191	11607	10081	
lncRNA:CR45911	29	25	21	26	17	29	
mir-13b-1	0	0	0	0	0	0	
mir-13a	0	0	0	0	0	0	
mir-2c	0	0	0	0	0	0	
CG6118	77	81	71	65	95	89	
Act88F	7	5	2	8	46	10	
AdamTS-A	6732	7909	2983	3098	5767	4300	
B9d1	6	12	1	3	6	2	
Rh6	4	0	7	13	8	26	
Trissin	81	79	59	77	65	78	
obe	2949	2872	1765	1822	2838	2475	
CG5213	0	2	0	0	3	0	
CG44014	11	12	57	51	4	7	
CG44013	0	1	2	0	0	0	
CG31296	0	0	0	0	0	0	
AOX1	351	241	211	418	433	236	
AOX2	94	109	6	95	45	23	
AOX3	2421	1822	1600	1674	2570	2036	
AOX4	13	15	21	14	140	82	
CG43335	0	4	1	0	9	2	
CG43336	9	8	1	4	80	5	
pxb	2138	2260	1428	1421	2232	1924	
lncRNA:CR43849	2	2	0	1	0	5	
CG31446	3	0	0	1	2	1	
CG5399	418	800	150	152	306	310	
lncRNA:CR45635	0	0	0	0	0	0	
lncRNA:CR45636	0	0	0	0	0	0	
CG5404	25	12	23	35	19	8	
CG31294	0	1	0	0	2	0	
CG34274	0	0	0	0	0	0	
CG4520	0	0	0	1	2	0	
CG12784	0	0	0	0	0	0	
CG5623	0	0	0	0	1	0	
asRNA:CR45206	0	0	0	1	0	0	
CG4525	10	8	5	7	11	15	
lncRNA:CR45207	0	0	0	3	1	0	
CG5614	0	1	0	0	4	0	
CG9590	1380	1531	820	935	1357	1171	
CG9589	8	9	4	5	2	5	
c(3)G	398	321	315	260	494	354	
Acyp2	741	674	549	429	719	601	
nsl1	11644	11439	7076	7447	11522	9964	
CG9593	137	118	64	78	129	119	
asRNA:CR45891	0	0	0	0	0	0	
alpha-Man-IIb	3006	3078	1789	2032	2849	2362	
lncRNA:CR45211	5	5	2	0	4	2	
rec	946	950	539	413	724	663	
CG4576	384	464	153	318	527	363	
CG43318	2	4	1	0	2	1	
CG43317	6	5	6	4	3	2	
Arpc3A	2418	2480	1425	1407	2254	2068	
ND-23	1986	1902	1297	1414	1944	1570	
mir-4911	0	0	0	0	0	0	
spn-E	354	389	275	188	323	257	
Pbp45	458	473	251	265	404	384	
cv-d	3255	3138	1887	2071	2871	2336	
CG4546	10	11	8	10	18	9	
Hmt-1	2538	2632	1512	1645	2555	2220	
CG31183	185	256	184	221	271	159	
CG9632	1	1	0	0	1	1	
CG14877	2	7	7	5	3	9	
glob1	827	733	454	589	822	625	
CR31292	18	1	19	25	36	15	
EndoU	2262	2163	1425	1295	2288	2100	
CG45105	223	235	118	159	349	295	
Fbxl7	2439	2383	1280	1410	2196	2088	
lncRNA:CR46028	16	27	9	15	20	15	
CG34276	283	1239	703	1236	336	243	
CG5478	1	2	1	2	1	0	
blp	652	680	408	420	654	624	
Sap47	8579	7959	5588	6005	8616	7169	
CG31088	22	23	8	25	24	18	
CG4287	1364	1343	789	766	1258	1051	
CG5516	1589	1557	1034	909	1348	1215	
CG32856	956	864	627	537	812	703	
Rbf2	1182	1039	777	802	1286	1052	
mor	22475	22139	12918	13560	20275	18474	
Hel89B	9147	9164	5598	6204	9212	7952	
srp	1484	2216	749	1072	1536	1389	
lncRNA:CR44133	10	7	4	8	11	5	
lncRNA:CR42839	1	4	2	1	3	3	
GATAe	8	39	11	13	20	26	
pnr	1362	1481	653	751	1356	1067	
CG10264	3	5	3	0	2	5	
CG10407	325	279	174	155	226	260	
IKKbeta	1268	1243	786	790	1302	1171	
lncRNA:CR45212	8	6	5	2	6	5	
CG5013	1123	1058	540	603	942	856	
msps	18118	17556	11539	11220	18237	15525	
CG10185	47	60	30	34	51	52	
Mhcl	6859	7263	3860	4694	6951	5873	
CG32855	19	16	8	5	12	13	
sxe2	6	16	6	13	8	1	
Akt1	9453	9757	6241	6404	10152	8566	
Sb	1836	2289	768	794	1927	1434	
CG5903	4581	4312	2444	2775	4124	3549	
CG5916	674	649	384	435	636	592	
Fer2	438	421	329	446	577	439	
CG6006	372	338	197	206	280	256	
asRNA:CR43472	2	3	3	2	5	6	
CG8925	151	92	68	52	144	80	
CG8927	271	179	115	177	266	244	
Bin1	2750	2471	1336	1627	2389	2210	
sra	1355	1226	805	888	1423	1240	
CG6126	413	359	257	312	537	346	
CG31287	24	17	9	8	23	12	
mtSSB	403	347	246	246	358	333	
lncRNA:CR45639	14	28	17	16	24	24	
lncRNA:CR45640	5	3	0	5	4	3	
lncRNA:CR45638	1	3	0	2	3	1	
lncRNA:CR45637	0	4	5	1	2	3	
lncRNA:CR45642	7	2	0	1	4	6	
lncRNA:CR45641	19	25	12	20	19	20	
lncRNA:CR45643	8	5	5	1	4	5	
tara	8912	9142	5566	6223	9809	8278	
bor	3022	2928	1735	2010	2894	2733	
asun	1042	1095	665	634	1019	924	
Mst89B	5	7	8	4	4	8	
Mat89Ba	2735	2659	1574	1731	2581	2132	
gish	11311	11939	7508	7294	12173	10809	
Zip89B	291	307	153	150	319	307	
Sulf1	4334	4941	2441	2693	4663	4065	
tRNA:Phe-GAA-1-8	0	0	1	0	0	0	
tRNA:Val-AAC-1-1	0	0	0	0	1	0	
CG44044	0	2	2	0	0	1	
CG6901	4	9	7	3	8	13	
CG17929	5	7	5	7	4	4	
CG17930	10	12	4	2	8	13	
SF2	20315	19602	12284	11021	19085	17030	
pad	1240	1164	732	930	1252	1159	
CG14879	166	142	114	123	208	173	
Manf	4793	5591	2905	3588	5722	4853	
CG10311	221	286	165	206	214	229	
CG17931	498	527	385	278	522	440	
CG42446	0	0	0	0	0	0	
CG14880	189	271	64	35	63	83	
CG10317	0	1	0	0	1	0	
lncRNA:CR45193	2	1	0	0	0	0	
ss	1296	1350	681	1202	2005	2086	
lncRNA:CR45630	0	0	1	0	0	0	
tRNA:Thr-AGT-1-3	0	0	0	0	0	0	
lncRNA:CR45631	0	0	0	0	2	1	
CG31279	5	7	1	3	8	0	
tRNA:Thr-AGT-1-4	0	0	0	0	0	0	
CG17565	1953	1929	1078	1187	1589	1488	
CG14881	600	563	366	409	595	549	
mRpS33	688	723	451	452	654	644	
ema	2932	2993	1858	1955	2960	2670	
CG14894	1739	1851	1074	1175	1792	1561	
CG14882	716	665	379	471	686	609	
Pak3	5946	6393	3756	3691	6359	5641	
CG10405	4	134	2	7	54	128	
CG14883	1853	1868	1185	1163	1726	1532	
CG42232	15823	15072	11618	10623	16629	13657	
CSN5	4044	4012	2420	2722	4084	3538	
Gyc89Da	6	7	6	6	8	6	
asRNA:CR46029	66	42	44	11	35	28	
Gyc89Db	3	8	3	0	2	4	
Dhfr	1483	1396	856	890	1217	1181	
Sdhaf3	392	342	238	197	333	255	
Der-2	1600	1581	931	1090	1625	1351	
Cad89D	0	2	0	1	1	0	
Gr89a	0	0	0	0	0	0	
Decay	34	78	24	37	20	84	
CG42342	9182	9174	5630	6201	10330	8615	
lncRNA:CR46030	3	2	1	0	1	2	
CG14891	0	1	0	0	1	1	
CG14903	645	664	426	448	706	587	
Scp2	168	174	89	126	148	390	
CG14892	5	2	3	10	7	5	
CG10345	21	17	11	6	9	11	
NPF	321	222	214	327	362	297	
CG12783	1	3	0	0	2	3	
CG10340	1952	1896	1062	1188	1802	1618	
CG17562	74	85	61	0	61	15	
CG17560	2	7	13	0	2	0	
mir-2494	0	0	0	0	0	0	
CG14893	2	3	2	0	0	1	
CG14905	8	4	1	5	10	10	
Fas1	21516	20924	13478	14660	22190	19061	
nonA-l	2730	2648	1577	1541	2505	2275	
Arl6IP1	4697	4473	3333	3183	5015	4445	
CG10324	673	681	423	409	683	648	
CCT3	20642	20403	10622	12892	19267	17850	
CG14906	413	356	265	224	379	318	
CG14907	245	197	157	205	333	246	
modSP	4297	4352	2233	1871	3364	3289	
Ubx	1941	2179	1041	1175	2253	2284	
lncRNA:bxd	19	23	8	17	23	14	
CG31275	0	1	0	1	0	0	
lncRNA:CR44945	1	5	0	1	0	0	
Glut3	2	1	1	2	2	3	
lncRNA:CR45750	1	2	0	12	1	2	
lncRNA:TS16	3	2	1	1	2	2	
abd-A	1280	1104	575	546	1047	644	
lncRNA:iab8	46	42	26	18	19	26	
lncRNA:iab4	15	12	7	4	15	6	
mir-iab-8	0	0	0	0	0	0	
mir-iab-4	0	0	0	0	0	0	
lncRNA:CR43617	1	1	0	0	0	0	
Abd-B	296	182	122	126	270	181	
lncRNA:CR46267	0	0	0	0	0	0	
VhaM9.7-d	0	0	0	0	0	0	
Actn3	0	2	0	0	0	0	
AhcyL2	234	261	124	145	232	210	
CG18622	61	100	39	67	66	76	
lncRNA:CR45592	0	0	0	0	0	0	
MESK4	6	15	1	5	6	30	
CG3678	953	1078	553	681	1129	950	
lncRNA:CR45221	0	3	1	2	0	0	
asRNA:CR45213	1	0	1	0	0	0	
CG31274	0	0	0	0	0	6	
CG17556	784	807	548	555	989	788	
CG3534	1268	1406	784	926	1456	1150	
Sf3a1	5719	5657	3347	3759	5532	5530	
Irc	1202	1281	960	813	938	922	
CG8907	8	11	7	40	27	19	
Pxd	120	534	70	163	497	319	
AdSL	3168	3328	1728	1837	3101	2847	
CG5225	1	1	1	2	4	1	
CG31268	0	1	0	0	0	0	
CG4009	2	1	0	0	6	2	
CG18213	706	653	505	497	746	760	
CG5220	1358	1426	873	833	1273	1152	
CG3995	1046	942	658	755	1107	1015	
Patr-1	4970	5674	2810	3088	5011	4662	
Dad	4641	4721	2754	2965	5057	4312	
Ns1	4143	4136	2498	2847	4185	3995	
mRpS11	1267	1186	759	794	1218	976	
Keap1	1035	1153	674	699	1046	989	
kuk	22977	23293	13866	15178	22027	20314	
GckIII	3773	3831	1974	2376	3686	3356	
cal1	2944	2787	1901	1928	2857	2576	
cher	14957	13950	9217	10476	15951	13849	
CG34278	582	443	1007	737	45	40	
CG42779	215	412	419	207	83	19	
CG45079	10	2	9	1	0	1	
CG17477	0	0	2	21	0	11	
asRNA:CR44238	0	0	0	0	0	0	
CG31269	0	0	2	7	0	7	
CG31265	0	0	11	117	0	11	
CG17475	0	0	2	68	0	2	
CG4053	0	0	7	63	0	6	
CG31266	0	0	44	209	0	77	
CG31267	0	0	2	38	0	1	
CG5246	3	3	94	13	1	95	
CG5255	43	63	28	27	32	9	
CG5265	0	0	0	1	1	3	
TwdlW	6	9	8	7	9	3	
m-cup	1831	2001	1189	1146	1784	1696	
Det	1140	964	790	820	1188	975	
CG5285	342	290	225	172	312	246	
CG5292	770	815	489	450	719	673	
Mur89F	507	690	439	368	839	375	
CG31262	59	29	25	21	21	18	
beat-IIb	465	399	254	259	439	350	
CG44259	0	2	0	0	0	1	
CG44257	0	0	1	0	0	0	
lncRNA:CR44258	0	0	2	0	1	0	
CG31418	0	0	0	0	0	0	
CG31419	0	0	0	0	0	0	
lncRNA:CR43489	0	0	0	0	0	0	
lncRNA:CR43490	1	0	0	0	0	0	
beat-IIa	1244	1163	892	803	1173	1183	
lncRNA:CR44256	0	0	0	0	0	1	
Brf	3297	3343	2163	2065	3252	2979	
lute	4760	4847	2919	2732	4490	3901	
lncRNA:CR43196	11	7	4	6	12	6	
asRNA:CR44160	1	1	1	0	0	3	
sds22	2590	2643	1641	1754	2458	2154	
CREG	1491	2174	1122	747	730	1845	
Sur-8	5022	5278	3117	3189	5643	4878	
CG34279	222	949	352	306	812	18	
CG34280	5	8	2	1	2	0	
CG42823	14	2	1	2	0	0	
CG42824	4	0	0	0	0	0	
CG42798	31	221	182	15	4	39	
CG17283	22	11	7	8	0	6	
CG5860	11	0	0	0	0	0	
CG5863	16	1	0	0	2	3	
CG42821	16	1	2	18	0	0	
CG42822	345	379	265	104	43	70	
CG5866	580	10	18	4	2	15	
CG33333	1	0	1	0	0	0	
asRNA:CR46034	0	0	0	0	0	0	
CG42834	939	1360	2120	115	66	1116	
CG42835	8	12	43	0	2	11	
CG14332	1213	1391	2457	85	54	1041	
cysu	1061	1373	446	577	1201	989	
lncRNA:CR46052	0	0	0	0	1	0	
lncRNA:CR46053	0	1	0	0	0	0	
CG44090	0	1	0	0	0	0	
CG14331	21	11	19	21	29	17	
Eh	172	138	91	159	176	163	
CG14330	0	0	0	0	0	0	
Dscam3	3333	3242	2093	1919	3012	2756	
lncRNA:CR44349	0	0	0	0	0	0	
CG5823	2132	2134	1239	1363	2064	1948	
P5cr-2	1	2	1	0	2	3	
l(3)07882	2794	2769	1681	1774	2749	2471	
SF1	14387	13801	7628	8539	13208	12233	
Prx3	3013	2916	1766	2038	2797	2351	
Hmx	732	777	401	549	758	729	
CG7587	286	1968	1701	178	69	13	
Sgs5	2646	21653	4288	4629	1781	337	
CG7606	405	1490	929	152	176	8	
sll	1446	1412	907	1006	1452	1156	
CG14329	1	0	0	0	0	1	
Edg91	222	315	119	136	153	137	
CG34281	0	0	0	0	0	1	
CG14327	5	5	4	3	9	7	
tRNA:Val-CAC-1-1	0	0	0	0	0	0	
tRNA:Pro-TGG-1-1	0	0	0	0	0	0	
CG14324	0	0	0	0	0	0	
CG14326	0	0	0	0	0	1	
tRNA:Ala-AGC-2-2	0	0	0	0	0	0	
tRNA:Pro-TGG-1-2	0	0	0	0	0	0	
tRNA:Ala-AGC-2-3	0	0	0	0	0	0	
CG14323	4	1	2	0	0	0	
tRNA:Ala-AGC-2-4	0	0	1	0	0	0	
tRNA:Thr-AGT-1-5	0	0	1	1	0	0	
tRNA:Thr-AGT-1-6	0	0	0	0	0	0	
AttD	145	154	49	14	2	21	
CG14325	3	3	4	0	2	4	
tRNA:Val-AAC-1-2	0	0	0	0	0	0	
CG43175	7	13	0	4	6	12	
tRNA:Ala-AGC-2-5	0	0	0	0	0	0	
tRNA:Pro-TGG-1-3	0	0	0	0	0	0	
lncRNA:CR45222	2	0	3	3	2	3	
tRNA:Ala-AGC-2-6	0	0	0	0	0	0	
tRNA:Pro-TGG-1-4	0	0	0	1	0	0	
tRNA:Ala-AGC-2-7	0	0	0	0	0	0	
tRNA:Ala-AGC-2-8	0	0	0	0	0	0	
lncRNA:CR45223	950	900	595	418	604	474	
CG14322	2518	2234	1715	1672	2419	2028	
tRNA:Ala-AGC-1-1	1	3	3	2	2	2	
tRNA:Ala-AGC-2-9	1	0	0	0	0	1	
lncRNA:CR45045	26	69	40	14	13	32	
tRNA:Ala-AGC-2-10	2	3	2	2	4	1	
CG7523	1542	1443	941	1025	1350	1222	
Mps1	1194	1074	736	840	1290	1096	
alt	21081	24959	11984	13238	22344	19955	
CG7655	1895	1806	970	1136	1737	1553	
CG31251	537	503	385	349	516	485	
CG31360	806	859	553	483	760	594	
CG31249	1440	1449	861	905	1439	1248	
osa	28582	28119	17091	18381	29516	25878	
lncRNA:CR46036	12	10	9	6	11	10	
lncRNA:CR46035	43	40	32	31	43	35	
Pxt	12	12	4	8	11	11	
Atg8b	0	3	0	0	1	0	
Lgr1	26	81	15	50	263	18	
CG14321	791	659	390	461	596	503	
TyrRII	68	62	28	53	66	45	
TyrR	208	177	103	155	156	165	
CG43102	767	620	517	542	712	669	
pasi1	2713	2529	1652	1746	2644	2294	
CG7379	3421	3178	2201	2171	3162	2877	
CG17803	2301	2181	1512	1663	2322	2054	
CG17806	763	792	479	623	979	799	
CG17802	442	447	257	379	595	532	
CG17801	0	0	2	1	2	1	
Odj	2081	1979	1261	1455	1947	1893	
Alg1	1605	1465	961	1025	1573	1377	
tinc	9723	9643	5704	5726	9754	7695	
Rim	5538	4710	3298	3351	4753	3942	
CG12347	1	0	0	0	0	0	
CG43445	0	0	0	0	0	1	
cpo	4664	5038	3139	3297	5576	4993	
DNaseII	758	818	406	361	399	437	
CG7785	691	688	422	455	707	640	
CG7794	15	32	19	14	16	14	
htl	1103	1138	629	614	1179	942	
CG14317	1	0	0	0	2	1	
sr	727	855	346	413	780	654	
tRNA:Gly-TCC-1-3	0	0	0	0	0	0	
tRNA:Gly-TCC-1-4	0	0	0	0	0	0	
CG14316	0	0	0	0	1	0	
lncRNA:CR45103	0	0	0	0	0	0	
asRNA:CR45104	0	1	0	0	0	0	
CG14315	0	0	0	0	0	0	
CG7218	1504	1559	869	954	1426	1327	
Cbp20	1738	1522	966	1096	1470	1394	
Prx5	0	0	0	0	0	0	
CG7215	0	0	0	0	0	0	
wrd	11813	11138	7154	7464	11149	9938	
cdm	5418	5414	3421	3116	4864	4639	
CG7208	12	7	10	12	23	18	
Arp5	1584	1531	918	1092	1539	1418	
CG12321	2066	2227	1137	1185	1927	1645	
MED17	2526	2550	1426	1700	2521	2150	
CG14313	2	4	4	4	5	4	
Ssdp	11989	12310	7361	7541	12384	10996	
CG7985	2409	2341	1403	1334	2069	1769	
CG44158	6	4	5	3	7	3	
CG14314	996	972	634	708	877	751	
CG7183	765	797	476	477	821	730	
CG7988	203	201	164	140	230	182	
mTerf5	1204	1129	717	766	1088	960	
Non3	2334	2205	1311	1682	2256	2083	
CG7168	815	755	469	454	743	587	
Mdh2	5607	5410	3439	4139	5278	4643	
repo	2154	2037	1222	1861	2642	2091	
CG7156	1024	940	605	690	954	866	
14-3-3epsilon	101068	103400	63234	64860	101388	91311	
CG12320	840	781	517	536	691	616	
CG18598	0	0	0	0	0	0	
Ada2a	1499	1402	788	891	1333	1256	
Rpb4	0	0	0	0	0	0	
Tgs1	0	0	0	0	0	0	
moi	0	0	0	0	0	0	
CG18599	89	93	57	74	88	83	
Vps39	1441	1525	890	1022	1562	1433	
eIF1A	14049	15747	9031	9118	15834	14316	
CG7142	34	28	16	19	17	57	
CG14312	294	260	161	216	220	228	
CG8064	2655	2474	1446	1534	2372	2183	
CG7131	97	74	42	62	111	82	
l(3)05822	3337	3374	1994	2177	3454	3025	
Dlc90F	5287	5251	3116	3306	5138	4677	
CG18600	1556	1515	954	990	1447	1311	
CG7126	3	2	3	1	0	2	
PKD	5221	5250	3104	2914	5059	4612	
CG31235	684	604	423	386	470	477	
CG15803	219	203	158	189	259	204	
lncRNA:CR45634	0	0	0	1	0	0	
hmw	17	20	11	15	19	9	
WRNexo	1381	1253	988	1068	1513	1329	
Nup43	1908	1823	998	1321	1803	1629	
gl	1608	1761	1219	1778	2765	2718	
lncRNA:CR14310	5	1	4	5	6	4	
lncRNA:CR44946	10	7	4	5	17	6	
CG7675	8827	10046	4150	4784	7935	7652	
CG14309	0	3	0	2	1	0	
cona	4	7	1	5	4	3	
Vha100-4	5	6	1	0	0	1	
Vha100-2	4063	4540	2698	2702	4609	3569	
Vti1b	510	517	349	300	534	498	
CG12333	962	975	528	573	865	728	
koko	2188	2235	1271	1209	1988	1826	
CG7685	611	623	335	375	549	510	
CG31122	5438	5331	3262	3558	5531	5072	
CG10864	65	45	42	33	54	45	
fru	4931	3357	3454	3349	6081	4527	
CG7691	0	0	0	0	0	0	
hemo	0	0	0	0	0	0	
CG43210	0	0	0	0	0	0	
CG7694	477	462	299	211	292	271	
fray	2749	2961	1697	1980	3113	2595	
qin	76	83	37	56	72	59	
CG14304	246	169	138	141	172	178	
CG14305	1	3	0	0	4	0	
