Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
Syx18	1534	1645	810	1681	1353	1745	1449	
atl	7019	7919	4402	8195	6754	8197	6568	
Wsck	2479	2484	1474	2691	2214	2560	2125	
CG43222	319	249	198	249	256	278	254	
puf	13061	13420	8326	14995	12234	14269	10048	
ash2	2681	2658	1834	2884	2532	2956	2374	
CG31125	1195	1167	675	1264	1106	1364	1113	
CG6695	5999	5534	3614	6364	5424	6142	5046	
mir-1003	0	0	0	0	0	0	0	
CG31126	596	567	333	705	554	636	625	
Ppox	1033	1050	636	1065	933	1134	1010	
slo	873	591	501	478	499	478	307	
CG13627	0	0	0	0	0	1	1	
CG46316	0	0	0	0	0	0	0	
Rpb10	1247	1175	871	1357	1213	1324	1208	
CG13630	2921	2716	1425	3092	2781	3264	2878	
tok	15956	15349	9467	16023	13573	15738	12533	
snoRNA:Me18S-C1280	1	0	0	1	2	1	1	
tld	1642	1343	1215	1568	1453	1491	1338	
asp	5989	5521	4251	6617	5733	6420	5279	
AstA	523	411	290	393	343	344	341	
lncRNA:CR45650	1	0	2	1	0	0	0	
CG13631	207	193	199	139	107	129	121	
CG42331	12	15	17	8	4	15	4	
CG5805	622	654	388	743	586	662	609	
Ets96B	59	69	42	40	25	41	45	
CG13634	2	4	0	1	1	1	1	
Ude	128	97	75	72	72	108	91	
polybromo	6558	6352	4159	6847	5873	7344	5914	
lili	1929	1894	1148	1990	1685	2009	1755	
CG6980	57	58	27	65	62	58	54	
CG34150	391	319	252	352	350	369	327	
CG5808	497	524	362	575	495	652	567	
asRNA:CR46096	0	0	0	0	0	0	0	
Saf-B	16699	16133	9157	19208	16111	17494	13210	
niki	64	64	33	40	33	48	29	
lncRNA:CR43166	21	41	2	8	5	4	4	
RabX4	1171	1147	813	1273	1158	1296	1043	
CG31357	2544	2422	1546	2650	2253	2805	2082	
CG43273	206	243	168	238	201	205	203	
sosie	152	97	61	115	79	96	80	
lncRNA:CR45216	1	0	0	0	0	0	1	
CG33658	0	0	1	0	0	0	0	
Esp	71	73	36	59	41	66	58	
CG7006	1798	1566	909	2001	1701	1953	1799	
Nct	6553	6896	4191	7511	6260	7722	6229	
HDAC11	93	85	50	76	68	71	53	
CG10899	1	2	4	2	0	5	2	
ppk22	42	63	26	60	43	56	20	
CG13639	85	133	45	124	82	148	45	
CG13640	4	4	2	4	6	8	4	
CG7016	192	256	122	176	162	206	152	
CG13641	198	662	69	109	91	258	239	
Elal	275	356	84	32	30	40	35	
CycB3	4457	4183	2780	4731	4141	5023	4325	
CG3744	4159	3969	2689	4663	3771	4343	3398	
CG11089	6082	11672	3039	6558	5293	6800	6142	
CG31381	405	374	220	430	328	433	371	
CG31121	3890	3924	2019	4220	3420	4271	3664	
CG11069	3470	3604	2001	3751	3356	4051	3290	
CG13643	17	16	7	14	13	14	9	
CG10845	0	0	0	1	1	2	1	
asRNA:CR44267	1	7	4	1	4	5	0	
PIG-S	1770	1759	942	1870	1559	1900	1669	
tRNA:Asp-GTC-1-12	0	0	0	0	0	0	0	
tRNA:Asp-GTC-3-1	0	0	0	0	0	0	0	
sud1	1488	1447	768	1662	1320	1744	1508	
CG11168	1294	1230	832	1302	1130	1369	1115	
Mink	3042	2664	2113	3045	2883	3212	2875	
asRNA:CR46097	0	0	0	0	0	0	0	
Trf4-2	15	23	7	12	15	14	12	
CG11771	2853	2663	1628	2957	2559	2965	2768	
Osbp	3887	4019	2243	4192	3490	4198	3264	
ssh	6622	6517	3774	7382	6244	7373	5729	
Nmnat	486	498	304	494	439	508	393	
mah	54	43	30	51	53	74	57	
tnc	32412	40045	17959	38202	29324	35835	19011	
beta4GalT7	1216	1127	563	1116	1103	1245	1143	
CG11781	753	827	450	854	757	885	887	
Hr96	974	985	611	1152	1018	1170	1028	
Smg6	4771	4753	3126	4746	4033	4980	4125	
Ythdf	9235	9661	5834	10416	8909	10517	8426	
CG31115	39	24	13	72	69	77	77	
bai	5854	6275	3411	6561	5747	6991	6135	
5PtaseI	1460	1450	986	1514	1231	1518	1330	
CG11786	9	13	10	3	6	5	8	
CG11790	5055	4918	3017	5414	4697	5615	5064	
CG11791	3261	3159	2134	3314	2939	3435	2988	
CG31109	760	721	511	880	720	875	799	
CG31111	471	434	350	507	493	527	549	
stac	1780	1791	1263	2230	1956	2056	1807	
veli	1853	1975	1237	2038	1824	2045	1867	
PQBP1	732	658	419	741	676	759	663	
Stt3B	17925	19116	9934	19673	16441	19840	16206	
CG11839	619	570	380	662	546	663	655	
CG11836	307	331	167	317	304	325	292	
shams	2605	2556	1521	2688	2450	2825	2755	
CG11920	1116	1085	728	1279	1141	1335	1234	
fd96Ca	683	731	391	718	683	853	717	
fd96Cb	2149	2115	1472	2557	2257	2415	2177	
CG33095	0	0	0	0	0	0	0	
CG33096	94	93	52	104	83	90	70	
CG45095	29	26	20	46	30	33	30	
CG34027	26	22	10	10	8	5	8	
CG13650	482	349	286	416	406	439	390	
TTLL5	1802	1724	1214	2181	1934	2205	1862	
CG31510	2648	2619	1825	2973	2507	3110	2594	
vig2	27582	27412	16233	31155	26383	31664	28304	
Mocs2A	0	0	0	0	0	0	0	
Mocs2B	0	0	0	0	0	0	0	
Clbn	2647	2744	1796	3269	2766	3315	2776	
Bili	1128	1014	718	1283	1020	1148	886	
lncRNA:CR46098	2	0	0	2	0	2	1	
danr	1596	1733	1028	1897	1641	1863	1698	
lobo	34	30	23	24	12	14	13	
dan	1506	1459	986	1887	1691	1961	1791	
CG13653	12	3	10	8	6	6	3	
Cad96Ca	2308	2240	1497	2517	2223	2578	1934	
CG13654	448	468	294	330	286	304	247	
CG13663	533	565	323	527	497	595	564	
CG31106	1	3	0	2	2	2	14	
CG31103	57	85	32	112	92	108	102	
CG11851	2543	2494	1650	2437	2159	2525	2218	
Cad96Cb	513	553	291	521	458	461	427	
CG10420	632	668	343	690	608	698	606	
CG11852	245	133	130	169	193	173	151	
to	0	2	0	0	0	0	0	
CG11854	1065	1190	517	198	174	541	310	
bam	19	35	28	38	21	29	23	
RpS27	43025	39763	25375	42887	39263	44106	40606	
sisRNA:CR46364	90	88	56	132	129	132	103	
Nup37	1152	1080	554	1685	1426	1649	1613	
Nup358	31924	30195	19946	35304	29655	33788	25893	
CG11857	4854	5615	3236	5044	4163	5197	4241	
CG10425	884	938	494	718	566	653	624	
asRNA:CR46099	0	0	0	0	0	0	0	
CG11858	2110	2074	1068	1884	1745	2231	1930	
GlnRS	4782	4849	2952	5516	4795	5534	4731	
RIOK2	944	878	552	905	798	1014	838	
asRNA:CR45214	0	0	0	0	0	0	0	
CR43310	0	0	0	0	0	0	0	
CR13656	0	0	0	0	0	0	0	
CG11889	0	0	0	0	0	0	0	
CG11891	0	0	0	0	0	0	0	
CG11878	0	2	0	0	1	0	7	
CG10513	5	41	2	16	16	12	377	
CG10514	2	23	1	197	145	15	317	
CG11892	1	28	1	456	339	41	637	
CG31300	1	0	0	2	4	2	1	
CG31104	0	1	1	1	2	5	2	
CG13658	0	0	1	1	1	2	2	
CG11893	76	55	35	17	13	19	10	
CG31098	315	285	190	287	271	348	289	
CG31102	46	76	17	88	72	66	62	
CG31097	4	5	0	11	4	6	6	
CG31288	0	4	2	3	2	6	0	
CG13659	22	17	6	17	20	24	22	
CG31370	134	112	101	54	50	73	46	
CG31436	512	513	375	106	81	93	80	
CG10550	77	41	103	70	76	107	65	
CG31099	0	0	0	0	2	0	2	
CG31087	3	8	2	2	1	2	3	
CG10559	99	106	104	63	48	94	57	
CG10553	0	1	0	0	2	0	0	
CG10560	0	1	0	0	0	1	11	
CG10562	2	1	1	1	0	0	4	
CHKov1	2431	2893	1311	2988	2477	3028	1841	
CHKov2	567	643	321	624	522	779	606	
CG10669	792	783	522	993	779	964	782	
CG11902	1449	1402	948	1469	1251	1426	1199	
rha	8	23	8	11	15	12	9	
tobi	42	41	18	48	38	39	35	
Fur1	5113	5265	2866	5262	4249	4989	4115	
ND-49L	3	3	0	1	2	1	1	
alrm	2364	1669	1553	1687	1589	1786	1655	
CG31437	1	0	0	0	0	1	0	
Muc96D	520	5884	43	13	5	6	10332	
Vps33B	1515	1441	912	1505	1294	1585	1437	
CG4553	428	396	248	383	355	374	331	
MED28	1144	1030	584	1143	1088	1229	1023	
XNP	15106	14519	9805	16565	14126	15523	12489	
CG42488	0	0	0	0	0	0	0	
CG5116	4	8	7	15	8	7	4	
Dhap-at	943	939	586	913	824	884	764	
asRNA:CR44179	11	5	9	5	4	0	1	
CG5112	0	0	0	0	0	0	0	
CG33494	311	420	237	230	204	276	328	
lncRNA:CR44948	9	3	3	19	7	18	50	
lncRNA:CR43456	0	0	0	0	1	0	0	
lncRNA:CR43457	0	0	0	0	0	0	0	
lncRNA:CR45651	0	0	0	0	0	0	0	
CG5107	0	0	2	1	0	0	1	
CG5111	2	5	0	1	0	2	1	
msi	9888	10473	6780	11171	9097	10575	8572	
lncRNA:CR46100	5	28	3	1	2	8	7	
CG4582	3	6	1	5	3	3	3	
lncRNA:CR45910	34	47	19	34	46	43	37	
mir-1000	0	0	0	0	0	0	0	
ymp	44	34	33	34	41	30	26	
Npl4	5614	5510	3214	5995	5211	6207	5347	
CG5079	30	28	19	35	19	34	19	
CG5071	111	124	67	136	148	129	83	
Ssadh	2364	2189	1414	2237	1976	2282	2037	
jigr1	6917	6489	4480	7222	6515	7782	6806	
mir-92a	0	0	0	0	1	0	0	
lncRNA:CR45917	0	0	0	0	0	0	0	
mir-92b	0	0	0	0	0	0	0	
Tnks	4417	4270	2566	4861	4052	5019	4034	
asRNA:CR46101	4	4	2	1	5	1	1	
asRNA:CR45208	0	0	0	4	0	0	0	
RASSF8	1825	2143	1114	2154	1651	1984	1752	
Lgr3	90	60	71	112	83	100	89	
lncRNA:CR45225	0	0	0	0	0	0	0	
CG4730	501	469	322	608	501	572	559	
CG5039	244	230	165	248	209	295	272	
CG4743	502	462	286	516	512	525	462	
CG5028	4029	3965	2490	4211	3568	4206	3522	
RpL27	54713	53711	33688	56830	51559	62268	55736	
CLS	1688	1546	1051	1567	1374	1530	1393	
LpR2	7296	7682	4267	8318	6796	7989	6326	
lncRNA:CR46102	23	17	11	24	21	28	13	
LpR1	2613	2161	1399	2467	2093	2249	1890	
CG17198	0	0	0	0	0	0	0	
CG17197	0	0	0	0	0	0	0	
CG17196	0	1	0	3	0	0	1	
CG17195	0	2	0	1	0	0	0	
CG4956	0	1	0	1	0	0	0	
CG4960	0	1	0	0	0	1	0	
CG31380	0	1	0	0	0	1	3	
CG31093	0	0	1	1	2	0	2	
lncRNA:CR43631	1	0	0	0	0	0	0	
lncRNA:CR43632	0	0	0	0	0	0	1	
lncRNA:CR43633	0	0	0	0	0	0	0	
lncRNA:CR43634	0	0	0	2	2	1	0	
lncRNA:CR43847	0	0	0	0	0	0	0	
BG642167	0	0	0	0	0	0	0	
lncRNA:CR45652	0	0	0	0	0	0	0	
CG5024	0	1	0	1	0	1	0	
Acam	0	0	0	0	0	0	0	
CG17770	0	0	0	0	0	0	0	
CG14354	0	1	1	0	0	0	1	
lncRNA:CR44949	0	1	0	0	0	0	0	
Mst57Dc	0	0	0	0	0	0	0	
Sfp96F	0	0	0	0	0	0	0	
Mst57Db	0	0	0	0	0	0	0	
Mst57Da	0	0	0	0	0	0	1	
alpha4GT2	0	0	0	0	0	0	0	
lncRNA:CR45653	0	0	0	0	0	0	1	
lncRNA:CR45654	0	0	0	0	0	0	0	
lncRNA:CR45655	0	0	0	0	0	0	0	
lncRNA:CR45656	0	0	0	0	0	0	0	
lncRNA:CR45657	0	0	0	0	0	0	0	
CG14545	12	10	9	25	33	40	27	
CG5886	1983	2142	1236	2307	1989	2374	1908	
CG5890	359	324	250	372	307	272	226	
Tsp96F	3184	3426	2160	3385	2972	3448	2884	
SppL	4955	5636	3064	5602	4669	5603	4956	
Lnk	4272	4106	2545	4547	3843	4354	3539	
CG5913	2036	2149	1242	2321	1970	2269	1837	
CG5948	37	39	30	70	52	47	42	
MCO3	10	8	5	11	16	11	4	
CG31091	8	6	0	14	5	8	6	
CG31089	17	12	6	11	20	9	15	
asRNA:CR43259	50	59	38	45	46	57	55	
CG42235	826	814	640	923	840	857	827	
CG14546	0	0	0	0	1	0	0	
CCAP-R	141	145	84	133	124	135	101	
lncRNA:CR34024	1	0	0	0	1	0	0	
CG14540	0	2	0	2	2	0	5	
boss	58	72	25	70	70	91	76	
fid	903	786	456	915	688	837	561	
Nf1	5132	5001	3482	5498	4868	5434	3565	
CG43116	22	20	8	25	17	16	15	
E(spl)mdelta-HLH	1461	1520	927	1681	1410	1569	1351	
E(spl)mgamma-HLH	1978	2037	1266	2206	1940	2204	1964	
lncRNA:CR45037	3	5	0	5	1	6	1	
lncRNA:CR45038	1	1	0	1	1	5	1	
E(spl)mbeta-HLH	5026	4539	2683	5260	4737	5290	4464	
lncRNA:CR45039	11	8	6	13	5	11	10	
E(spl)malpha-BFM	5716	6204	3343	6808	5741	7429	5815	
Kaz-m1	84	373	33	9	7	16	678	
lncRNA:CR45040	0	0	0	0	0	0	0	
E(spl)m2-BFM	2699	2837	1425	2881	2388	2825	2437	
lncRNA:CR43643	20	25	17	28	25	27	13	
lncRNA:CR43644	24	19	13	25	20	24	27	
E(spl)m3-HLH	2848	2729	1683	2753	2377	2797	2207	
E(spl)m4-BFM	3059	3092	1931	3462	2996	3674	3020	
E(spl)m5-HLH	299	269	194	386	339	375	305	
E(spl)m6-BFM	613	721	373	656	573	729	586	
E(spl)m7-HLH	2358	2431	1655	2522	2206	2392	1812	
E(spl)m8-HLH	2005	1995	1187	2180	1865	2131	1688	
gro	15987	15881	9443	17738	15012	18140	14514	
Exo84	1853	1871	1185	1922	1687	1939	1638	
Vps2	2973	3162	1940	3122	2761	3400	3057	
Dak1	3113	2943	2086	3221	2650	3039	2756	
Sld5	637	534	323	590	578	634	553	
CG14543	946	777	500	938	844	913	868	
CG42498	0	0	0	0	0	0	0	
PIG-P	0	0	0	0	0	0	0	
RpL34a	10840	9934	6442	11218	9926	11577	10681	
CG14544	819	700	402	797	791	932	905	
CG14551	14	8	4	11	10	6	9	
lncRNA:CR44950	0	0	1	2	0	0	0	
dysf	894	982	545	932	800	954	722	
lncRNA:CR44319	0	1	0	1	0	0	0	
CG31324	736	693	291	607	415	532	376	
lncRNA:CR46060	1	1	0	5	1	1	3	
CG14556	0	2	0	2	2	2	0	
CG6142	491	392	463	302	324	336	297	
CG31323	468	400	273	502	420	455	466	
CG31086	0	0	0	0	0	0	0	
CG6073	746	743	454	862	714	827	777	
CG34130	0	0	0	0	0	0	0	
CG34129	0	0	0	0	0	0	0	
lncRNA:CR44320	41	39	27	45	38	36	27	
CG12290	600	552	375	574	515	564	457	
lncRNA:CR46061	7	4	8	5	4	6	3	
lncRNA:CR46062	0	0	0	0	0	1	0	
Ald	14371	14328	9862	14156	11907	14241	11687	
asRNA:CR44321	26	14	9	22	19	13	17	
CG6154	286	232	158	274	247	227	228	
CG33970	671	556	280	781	650	773	596	
lncRNA:CR42765	7	3	3	4	3	2	4	
CG6036	0	0	0	0	1	0	1	
ppk15	0	0	1	1	0	0	1	
CG5432	1	2	0	1	0	0	0	
CG6503	1	0	0	0	0	0	0	
CG34291	129	153	15	3	2	15	14	
lncRNA:CR43434	0	0	0	0	0	0	0	
tx	62	54	45	53	46	69	54	
Hex-t1	0	2	1	0	0	0	0	
Hex-t2	0	1	0	2	0	0	0	
CG5447	1879	1946	1160	2165	1790	1985	1739	
CG43117	2802	4106	5347	389	207	869	62	
Pdf	657	314	346	246	229	206	187	
CG14237	76	120	100	38	18	67	9	
CG14238	41	39	16	41	47	56	44	
CG5455	499	441	333	942	838	916	769	
plum	6433	6140	4339	7127	5934	6722	4989	
lncRNA:CR46083	0	0	1	1	0	0	0	
lncRNA:CR45226	1	0	2	2	1	7	2	
scrib	17787	17162	10775	19166	15654	17609	13302	
lncRNA:CR46084	0	1	0	0	1	0	0	
lncRNA:CR44951	1	2	1	10	8	1	6	
lncRNA:CR45788	0	1	0	0	0	0	0	
TwdlM	46	18	11	7	4	6	3	
TwdlP	0	0	0	0	0	0	0	
TwdlB	0	0	0	1	0	0	0	
TwdlL	0	0	0	0	0	1	0	
TwdlO	0	1	1	0	0	0	0	
TwdlK	0	0	1	0	0	0	0	
TwdlJ	0	0	0	0	0	0	0	
TwdlN	1	8	0	4	1	36	22	
TwdlH	1	0	0	0	0	0	0	
TwdlR	0	0	1	1	1	0	0	
TwdlS	0	0	0	0	0	2	0	
lncRNA:CR46233	0	0	1	0	0	0	0	
TwdlD	2	4	0	3	1	6	3	
beat-VII	978	835	582	949	813	860	683	
Tb	4	3	0	8	6	6	2	
TwdlQ	0	0	1	0	0	0	0	
amon	3065	2535	1680	3024	2589	2827	2432	
CG6425	769	742	489	723	659	746	662	
CG5484	3269	3663	1909	3683	3102	3755	3029	
CG6420	3309	3193	1824	3532	2935	3651	3078	
CG14244	0	1	0	0	0	0	1	
CG14246	1	0	0	0	0	1	0	
CG14245	0	6	0	19	17	0	1	
CG6403	17	106	1	6	1	10	184	
CG14247	1	22	0	0	3	3	21	
lncRNA:CR45562	0	0	0	0	0	0	0	
lncRNA:CR45563	0	0	0	0	0	0	0	
CG42789	1	1	0	0	0	2	0	
lncRNA:CR42790	0	1	2	0	0	0	0	
Tl	6108	6567	4047	6455	5446	6680	5100	
snoRNA:Me28S-U1554	1	1	0	0	0	0	2	
Lerp	1997	2119	1399	1632	1339	1606	1369	
lncRNA:CR46073	3	4	0	1	1	4	1	
mir-1012	0	0	0	0	0	0	0	
IntS12	1390	1273	788	625	565	579	478	
ball	5117	4535	3227	5441	4852	5294	4859	
His2Av	26823	26350	17165	26625	22874	27943	24941	
SPARC	4314	4008	2144	2897	2701	3330	3142	
Rb97D	5045	4884	3331	5411	4470	4446	3925	
ms(3)K81	7	5	4	6	10	7	8	
CG5500	484	439	268	477	453	481	421	
ro	151	169	97	118	89	131	100	
T48	1913	1935	1048	2037	1826	2207	1882	
Ets97D	1447	1312	836	1365	1168	1360	1189	
CG46339	4078	3756	2678	4437	3659	4516	3287	
CG14252	470	483	359	529	458	598	460	
tRNA:Gln-TTG-1-2	0	0	0	0	0	0	0	
tRNA:Gln-TTG-1-3	0	0	0	0	0	0	0	
CG18472	4	2	1	0	2	2	1	
CG6330	996	978	592	1068	881	1033	974	
Tsp97E	6297	6188	4141	6669	5690	6546	5426	
Gr97a	1	1	1	4	2	0	3	
CG5521	4776	4683	2987	5506	4749	5574	4394	
CG46313	0	0	0	0	0	0	0	
CG14253	86	60	98	38	23	46	34	
CG31075	13178	18648	7568	11876	10194	13168	12464	
CG31076	353	536	259	309	244	376	319	
TwdlC	0	1	0	2	0	1	0	
RYa-R	58	87	28	65	58	57	51	
CG31077	0	1	0	0	0	0	0	
CG6296	215	26	0	0	0	48	0	
CG6295	444	0	0	0	0	0	0	
CG17192	0	0	0	0	0	0	0	
CG17191	35	2	0	0	0	0	0	
CG6283	1169	5	1	0	2	3	0	
CG6277	132	11	0	0	0	1	1	
CG6271	14	0	0	0	0	1	0	
TwdlT	170	263	141	231	184	165	174	
Nep5	9	4	4	2	3	1	3	
CG34292	0	1	0	0	1	0	0	
spz	804	838	546	715	566	757	612	
CG43935	6	6	2	0	3	5	3	
CG14257	1455	1688	755	722	605	717	567	
Cpr97Ea	114	115	80	265	256	353	290	
Cpr97Eb	46	23	24	46	34	23	17	
CG14258	289	700	69	65	59	150	61	
CG14259	5	6	2	1	1	1	0	
eater	1571	1786	1293	490	432	622	1087	
CG17189	0	2	0	0	0	0	0	
caix	25	8	10	10	5	9	1	
gb	1591	1620	1000	1512	1278	1471	1194	
asRNA:CR45209	2	2	2	6	5	5	2	
CG5815	1486	1462	899	1557	1329	1560	1343	
CG6066	1220	1153	714	1431	1205	1374	1329	
CG5880	314	323	172	391	310	355	379	
CG5882	9	7	10	15	10	11	12	
CG6059	5	3	6	3	4	4	4	
CG6051	3870	4281	2320	3866	3281	3949	3148	
Men-b	3258	3012	1977	4588	3873	4249	3683	
grass	421	557	212	277	287	304	246	
CG5909	11	6	5	7	5	5	2	
ppk31	9	10	5	5	3	9	2	
CG34293	245	244	156	287	247	279	279	
spn-D	99	78	66	84	93	80	66	
Ser	9964	10060	5529	10672	8884	10878	8568	
lncRNA:CR34006	43	58	33	57	52	68	60	
CG42813	1472	1373	883	1459	1187	1376	1195	
CG42814	0	0	0	1	0	0	0	
CG31064	3272	3169	1927	3489	3025	3372	2555	
CG31068	449	450	280	386	329	331	207	
DNApol-alpha73	1220	1055	633	1038	1004	1123	1049	
CG17991	9	9	6	14	9	11	3	
CG18766	5108	4982	2815	5134	4217	5193	4726	
lncRNA:CR46085	8	15	9	19	5	21	18	
CG5984	14	25	11	12	10	15	11	
TTLL6B	272	240	187	326	305	219	190	
TfIIA-L	5134	5161	2937	5552	4760	5664	5078	
pll	1437	1534	750	1610	1340	1493	1383	
woc	16649	15925	9944	18764	16142	18968	15051	
asRNA:CR44049	0	1	0	1	1	0	0	
CG14262	86	98	61	61	67	89	81	
CG14260	95	75	49	65	60	75	73	
l(3)mbt	3833	3791	2294	4260	3655	3982	3121	
CG5934	1331	1353	807	1243	1091	1303	1165	
CG5938	2128	2005	1169	2208	1783	2218	1858	
mrt	2950	2768	1808	3504	2945	3241	2609	
CG3368	5495	4966	3417	4134	3673	4024	3708	
bigmax	555	520	334	561	491	607	552	
Hmu	13895	15293	8415	16024	13533	17069	13393	
CG3348	494	626	242	182	171	180	149	
CG3339	118	129	61	8	6	6	4	
asRNA:CR44287	0	0	0	0	0	0	0	
CG3330	0	3	0	0	1	0	2	
CG42534	65	59	52	79	47	57	48	
CG46335	0	1	0	2	0	1	0	
asRNA:CR43476	1	1	0	0	0	0	0	
side	2547	2231	1298	2106	1757	2021	1539	
lncRNA:CR45991	0	0	1	0	0	0	0	
CG44290	0	1	0	0	0	0	0	
CG43447	0	0	0	0	0	0	0	
CG13978	2	0	2	1	3	2	5	
Cyp6a18	1	2	0	5	9	1	112	
Gr98a	1	0	0	0	0	0	0	
CG43139	153	368	605	185	66	210	164	
CG5402	40	98	123	35	20	60	14	
lncRNA:CR46086	0	1	0	0	0	0	0	
CG13972	3	5	1	7	3	5	3	
CG12885	19	22	7	53	47	58	49	
lncRNA:CR44289	0	0	0	0	0	0	0	
lncRNA:CR44288	1	0	0	0	0	0	0	
Gr98b	0	0	0	0	0	0	0	
Gr98c	0	0	0	0	0	0	0	
Gr98d	0	1	0	0	0	1	0	
Klp98A	3748	3921	2107	3691	3305	3917	3260	
CG5646	53	59	34	43	33	46	40	
snmRNA:157	0	0	0	0	0	0	0	
wdb	17438	17245	11639	19696	16637	20342	15882	
pins	4427	4586	2476	4920	4040	4834	4360	
CG5639	1159	1641	394	2286	1600	2223	1218	
dsd	4038	3970	2213	4214	3594	4225	3221	
Tusp	1418	1289	829	1527	1279	1429	1111	
CG5612	204	308	220	305	270	464	274	
CG5611	622	577	356	682	626	737	658	
Mtl	3151	3339	2079	3475	2992	3523	3020	
tau	2688	2413	1762	2855	2506	2652	2069	
mir-1001	0	0	0	0	0	0	0	
RpS10a	8	3	3	5	3	7	5	
Mlc1	1072	1080	595	557	469	583	277	
unc80	1751	1013	1072	1328	1209	1120	955	
CG5590	6095	6310	3450	6688	5851	6637	6079	
CG12883	331	337	198	324	289	395	349	
Sce	2653	2579	1405	2828	2384	2889	2579	
CG31055	84	70	25	60	48	57	46	
CG12880	8089	8424	4183	8152	7099	8566	7707	
CG43319	1	2	1	2	1	2	1	
Acp98AB	0	1	0	0	2	2	1	
HSPBAP1	335	321	172	373	281	343	321	
ALiX	8767	8852	5003	9105	7901	9235	7702	
btz	4740	4875	2516	5248	4449	5252	4254	
CG12428	1381	1417	843	1464	1331	1569	1338	
CG12877	1748	1818	1187	1913	1618	1895	1529	
Ets98B	435	402	239	487	362	408	338	
CG34353	1746	1479	978	1564	1250	1393	1037	
Or98P	0	0	0	1	0	0	0	
Or98a	0	0	0	0	0	0	0	
CG12426	1	1	0	5	1	1	0	
mil	1	5	0	4	11	6	10	
CG5003	3274	3110	1919	3248	2885	3361	2977	
mRpS22	2350	2145	1236	2363	2041	2328	2206	
CG33213	620	631	390	698	594	727	640	
CG12259	1323	1365	824	1463	1309	1380	1283	
BCAS2	2445	2407	1405	2621	2323	2719	2457	
RpL4	131609	128650	73940	128996	111419	132783	117073	
snoRNA:Or-aca3	14	12	6	16	7	12	12	
lncRNA:CR45566	36	56	36	61	50	59	52	
mino	3046	3051	1818	3056	2720	3256	2742	
CG31053	32	25	12	25	31	19	24	
NSD	5084	4742	3086	4920	4286	5154	4599	
BOD1	4758	4784	3018	5178	4500	5431	4145	
mfrn	2569	2459	1643	2873	2385	2858	2386	
Gp93	44769	49228	24219	50781	41815	50273	39307	
CG4951	1589	1540	1000	1726	1548	1746	1561	
CG5527	20	21	16	9	14	15	24	
CG42487	0	0	0	0	0	0	0	
CG4884	0	0	0	0	0	0	0	
CG31253	0	0	0	0	0	0	0	
CR31054	22	31	8	165	139	201	200	
CR45548	22	29	12	95	95	93	105	
CG31131	0	0	0	0	0	0	0	
CG4849	4947	4758	2957	5411	4783	5596	4564	
betaTub97EF	1820	1615	757	1586	1425	1916	1764	
CG4815	3	5	0	2	5	1	4	
lncRNA:CR46087	0	0	0	0	0	0	0	
lncRNA:TS27	0	0	0	0	0	0	0	
trv	5597	5050	3663	5717	4830	5410	2863	
lncRNA:CR46077	0	0	0	0	0	0	0	
lncRNA:CR46076	0	0	0	0	0	0	0	
lncRNA:CR46078	0	0	0	0	0	0	0	
CG34354	990	860	575	905	802	843	608	
lncRNA:CR46079	0	0	0	0	0	0	0	
lncRNA:CR46080	0	0	0	0	0	0	0	
asRNA:CR45041	0	0	0	0	0	0	0	
CG43125	36	29	38	19	9	17	26	
CG43124	141	162	134	197	159	203	369	
CG34436	6	14	2	30	19	27	32	
CG34437	63	80	57	32	33	42	103	
Mst98Ca	1	8	0	1	2	0	6	
Mst98Cb	0	7	1	2	0	1	2	
UQCR-14L	0	0	0	0	0	0	1	
lncRNA:CR44229	1	0	0	0	0	0	0	
lncRNA:CR46103	0	0	0	0	0	0	0	
CG12516	0	1	0	0	0	0	0	
larp	15907	16188	10499	17079	14066	16566	12082	
asRNA:CR46104	1	6	3	6	9	2	2	
Gfat2	4741	5080	2932	5123	4340	5279	4574	
Moca-cyp	7641	7728	4883	9125	7886	9144	7268	
asRNA:CR46105	3	0	0	0	0	0	0	
Or98b	0	0	1	0	1	1	0	
beat-VI	1300	1215	811	1163	1003	1116	952	
lncRNA:CR46106	0	0	0	0	0	1	0	
CG1894	2	1	0	0	0	0	0	
Dhc98D	32	25	14	44	49	31	18	
CG31051	433	437	280	450	407	445	328	
Ppn	24917	27931	12450	30956	23942	30459	20304	
mIF2	614	620	392	580	475	577	528	
fkh	1287	1502	1078	1540	1368	1543	1064	
lncRNA:CR43126	179	157	168	103	128	104	66	
lncRNA:CR43440	2	8	1	2	0	5	2	
Noa36	2280	2216	1224	2483	2045	2534	2265	
Hrb98DE	31242	31778	20578	39159	32312	34627	27726	
snoRNA:Psi28S-3405a	4	2	1	3	1	2	2	
snoRNA:Psi28S-3305a	7	0	3	0	3	1	2	
snoRNA:Psi28S-3405b	4	4	4	0	2	1	4	
snoRNA:Psi28S-3405c	2	3	4	1	6	4	5	
snoRNA:Psi28S-3305b	8	4	2	1	7	1	2	
snoRNA:Psi28S-3405d	2	4	3	4	4	2	2	
